ID,X,Y,Click
1328,140,91,0
1329,176,87,0
1330,220,73,0
1331,231,64,0
1332,231,61,0
1333,221,70,0
1334,214,84,0
1335,212,90,0
1336,212,92,0
1337,213,92,0
1338,216,92,0
1339,222,92,0
1340,235,97,0
1341,251,110,0
1342,266,128,0
1343,290,154,0
1344,315,181,0
1345,356,219,0
1346,427,280,0
1347,517,342,0
1348,602,394,0
1349,672,435,0
1350,718,456,0
1351,711,301,0
1352,684,297,0
1353,642,304,0
1354,587,334,0
1355,536,385,0
1356,525,407,0
1357,526,418,0
1358,545,427,0
1359,587,428,0
1360,685,419,0
1361,732,408,0
1362,750,398,0
1363,753,390,0
1364,745,374,0
1365,713,354,0
1366,666,349,0
1367,611,361,0
1368,552,413,0
1369,546,433,0
1370,556,446,0
1371,576,450,0
1372,599,450,0
1373,627,442,0
1374,641,429,0
1375,644,414,0
1376,640,396,0
1377,615,382,0
1378,597,387,0
1379,581,404,0
1380,572,425,0
1381,573,440,0
1382,580,449,0
1383,594,451,0
1384,605,449,0
1385,612,444,0
1386,614,431,0
1387,609,415,0
1388,600,407,0
1389,592,404,0
1390,585,405,0
1391,578,412,0
1392,575,419,0
1393,575,425,0
1394,576,425,0
1395,579,425,0
1396,583,424,0
1397,586,421,0
1398,588,418,0
1399,589,414,0
1400,589,413,0
1401,589,414,0
1402,589,415,0
1403,759,363,0
1404,805,341,0
1405,851,319,0
1406,893,299,0
1407,925,286,0
1408,943,280,0
1409,953,275,0
1410,960,270,0
1411,962,267,0
1412,962,266,0
1413,962,264,0
1414,961,262,0
1415,956,259,0
1416,949,258,0
1417,940,258,0
1418,920,270,0
1419,913,281,0
1420,913,285,0
1421,914,285,0
1422,917,285,0
1423,922,285,0
1424,928,284,0
1425,934,282,0
1426,937,279,0
1427,936,273,0
1428,917,261,0
1429,875,241,0
1430,783,218,0
1431,731,216,0
1432,680,228,0
1433,649,250,0
1434,642,261,0
1435,412,134,0
1436,321,101,0
1437,245,77,0
1438,181,64,0
1439,145,57,0
1440,126,54,0
1441,117,50,0
1442,112,48,0
1443,106,46,0
1444,100,44,0
1445,93,43,0
1446,83,42,0
1447,76,41,0
1448,72,41,0
1449,68,39,0
1450,62,36,0
1451,57,33,0
1452,49,29,0
1453,45,28,0
1454,43,27,0
1455,43,25,0
1456,43,22,0
1457,43,20,0
1458,41,15,0
1459,41,14,0
1460,40,13,0
1461,39,13,0
1462,37,13,0
1463,35,13,0
1464,31,12,0
1465,29,12,0
1466,28,14,0
1467,28,15,0
1468,28,18,0
1469,28,19,0
1470,28,20,0
1471,29,20,0
1472,31,20,0
1473,32,19,0
1474,32,16,0
1475,28,14,0
1476,23,13,0
1477,16,13,0
1478,10,14,0
1479,6,17,0
1480,5,22,0
1481,5,24,0
1482,7,25,0
1483,12,25,0
1484,18,25,0
1485,22,25,0
1486,25,23,0
1487,26,21,0
1488,26,17,0
1489,26,16,0
1490,24,16,0
1491,21,16,0
1492,20,16,0
1493,16,20,0
1494,16,24,0
1495,21,26,0
1496,30,29,0
1497,35,29,0
1498,36,28,0
1499,37,26,0
1500,44,31,0
1501,45,28,0
1502,44,25,0
1503,38,23,0
1504,34,23,0
1505,28,27,0
1506,27,34,0
1507,28,34,0
1508,31,34,0
1509,37,33,0
1510,40,29,0
1511,42,26,0
1512,41,24,0
1513,37,23,0
1514,34,25,0
1515,33,30,0
1516,33,36,0
1517,37,37,0
1518,41,37,0
1519,45,33,0
1520,45,29,0
1521,42,21,0
1522,37,19,0
1523,34,19,0
1524,31,21,0
1525,30,27,0
1526,35,31,0
1527,42,31,0
1528,50,29,0
1529,51,26,0
1530,51,21,0
1531,51,16,0
1532,47,13,0
1533,44,13,0
1534,42,13,0
1535,39,16,0
1536,36,19,0
1537,36,22,0
1538,40,22,0
1539,48,22,0
1540,53,20,0
1541,55,16,0
1542,55,14,0
1543,55,11,0
1544,52,10,0
1545,50,10,0
1546,44,16,0
1547,41,26,0
1548,42,33,0
1549,48,35,0
1550,57,35,0
1551,53,14,0
1552,43,22,0
1553,39,28,0
1554,39,30,0
1555,44,30,0
1556,50,30,0
1557,56,29,0
1558,64,26,0
1559,68,22,0
1560,68,15,0
1561,64,8,0
1562,58,4,0
1563,52,0,0
1564,17,2,0
1565,13,6,0
1566,12,11,0
1567,12,18,0
1568,14,25,0
1569,31,30,0
1570,46,30,0
1571,55,29,0
1572,59,24,0
1573,59,19,0
1574,56,11,0
1575,48,5,0
1576,30,2,0
1577,11,8,0
1578,6,18,0
1579,7,23,0
1580,16,25,0
1581,34,25,0
1582,54,22,0
1583,48,32,0
1584,52,34,0
1585,64,34,0
1586,74,29,0
1587,75,25,0
1588,73,21,0
1589,63,17,0
1590,53,17,0
1591,47,20,0
1592,45,33,0
1593,59,46,0
1594,81,55,0
1595,175,76,0
1596,264,99,0
1597,357,132,0
1598,442,178,0
1599,507,223,0
1600,549,281,0
1601,570,329,0
1602,596,396,0
1603,626,459,0
1604,647,503,0
1605,650,516,0
1606,650,530,0
1607,646,544,0
1608,644,555,0
1609,643,565,0
1610,643,571,0
1611,643,575,0
1612,645,585,0
1613,652,597,0
1614,662,610,0
1615,673,621,0
1616,462,568,0
1617,463,563,0
1618,468,559,0
1619,480,549,0
1620,499,534,0
1621,522,517,0
1622,551,489,0
1623,598,440,0
1624,655,380,0
1625,710,316,0
1626,765,249,0
1627,845,158,0
1628,863,140,0
1629,917,88,0
1630,940,67,0
1631,959,48,0
1632,968,38,0
1633,970,35,0
1634,124,0,0
1635,143,24,0
1636,155,34,0
1637,157,33,0
1638,111,0,0
1639,7,29,0
1640,18,2,0
1641,23,3,0
1642,25,3,0
1643,30,3,0
1644,32,3,0
1645,28,3,0
1646,24,5,0
1647,21,10,0
